a	/a,a/	(a) mot
absent	/'aebsant/	(n) vang mat
abstract	/'aebstraekt/	(adj) truu tuong
accent	/'aeksent/	(n) giong, trong am, dau trong am
accentor	/aek'senta/	(n) chim chich
accentual	/aek'sentjual/	(adj) thuoc trong am, dua vao trong am
accentuate	/ak'sent__eit/	(v) nhan manh, lam noi bat
accentuation	/aksent__'ei_n/	(n) su nhan manh, su noi bat
accept	/ak'sept/	(v) chap nhan
acceptability	/ak,septa'bilati/	(n) tinh co the chap nhan duoc, tinh duoc hoan nghenh
acceptable	/ak'septabl/	(adj) co the chap nhan duoc, duoc hoan nghenh
acquaint	/a_kwant/	(v) lam quen
ado	/a_do_o/	(n) ado
affront	/a_frant/	(v) phan doi
alas	/a_las/	(v) than oi
alone	/a_lon/	(adj) mot minh
amiable	/_ameabal/	(adj) dang yeu
angel	/_anjal/	(n) thien than
angle	/_aNGgal/	(n) goc
anybody	/-_bade,_ene_bade/	bat cu ai
append	/a_pend/	(v) noi them
archive	/_ar_kiv/	(n) luu tru
as	/as,az/	nhu
asbestos	/as_bestas,az-/	(n) amiang
astrology	/a_stralaje/	(n) chiem tinh hoc
august	/o_gast/	(n) thang tam
away	/a_wa/	(adv) xa
bag	/bag/	(n) tui
bamboozle	/bam_bo_ozal/	(v) lua gat
banana	/ba_nana/	(n) trai chuoi
barrier	/_barear/	(n) rao chan
beacon	/_bekan/	(n) den hieu
beautiful	/_byo_otafal/	(adj) xinh dep, long lay
believe	/bi_lev/	(v) tin
better	/'beta[r]/	(adj) tot hon, hon
betterment	/'betamant/	(n) su cai thien
bevel	/'bevl/	(n) canh vat, thuoc nach, (v) got vat mep
beverage	/'bevarid_/	(n) do uong
bevy	/'bevi/	(n) dam, bay
bewail	/bi'weil/	(v) khoc loc, than van
beware	/bi'wea[r]/	(v) than trong, coi chung
bicarb	/,bai'ka:b/	(n) bicarbonat natri
bicarbonate	/,bai'k_:banat/	(n) cacbonat axit
bicentenary	/,baisen'ti:nari/	(n) ky niem hai tram nam, le ky niem hai tram nam
bicentennial	/,baisen'tenial/	(adj) 200 nam moi xay ra mot lan, (n) ky niem 200 nam
bicephalous	/bai'sefalas/	(adj) co hai dau
biotic	/bi_atik/	(n) sinh vat hoc
blink	/bliNGk/	(v) chop mat
boil	/boil/	(v) soi len
book	/bo_ok/	(n) sach
bottom	/_batam/	(n) day
brave	/brav/	(adj) can dam
broken	/_brokan/	(adj) bi hong
bugle	/_byo_ogal/	(n) ken
burst	/barst/	(v) no
camera	/_kam(a)ra/	(n) may anh
capitulate	/ka_piCHa_lat/	(v) dau hang
carrier	/_karear/	(n) nguoi van chuyen
catch	/kaCH,keCH/	(v) bat lay
censor	/_sensar/	(v) kiem duyet
change	/CHanj/	(v) thay doi
cheep	/CHep/	(n) tieng chim keu
cheer	/CHi(a)r/	vui len
chloroform	/_klora_form/	(v) gay me
cinder	/_sindar/	(n) chat ket dinh
clatter	/_klatar/	(adj) keu vang
closure	/_kloZHar/	(v) dong cua
cocktail	/_kak_tal/	(n) cocktail
colour	/'kvla[r]/	(n) mau
compass	/_kampas/	(n) la ban
concise	/kan_sis/	(adj) ngan gon
conjugate	/'k_nd__geit/	(v) lien hop
contemplate	/_kantam_plat/	(v) thuong ngoan
cook	/ko_ok/	(v) nau an
corridor	/-_dor,_kar-,_koradar/	(n) hanh lang
courier	/_ko_orear,_karear/	(v) chuyen phat nhanh
crazy	/_kraze/	(adj) dien khung
cream	/krem/	(n) kem
crop	/krap/	(n) mua vu, (v) cat
cudgel	/_kajal/	(n) dui cui
curtsy	/_kartse/	(v) uon cong
dead	/ded/	(adj) da chet
deaf	/def/	(adj) diec
deal	/del/	(n) thoa thuan
decree	/di_kre/	(n) nghi dinh
delate	/di_lat/	(adv) mach leo, to cao
deliver	/di_livar/	(v) giao hang
deride	/di_rid/	(v) che nhao
deviate	/'di:vieit/	(v) di chech
dictionary	/_dikSHa_nere/	(n) tu dien, cuon tu dien
dig	/dig/	(v) dao
dirt	/dart/	(n) bui ban
dirty	/_darte/	(adj) do ban
discharge	/dis't__:d_/	(v) phong dien
dissociate	/-_sose-,di_soSHe_at/	(v) tach roi
dodge	/daj/	(v) ne tranh
dog	/dog/	(n) cho
double	/_dabal/	(n) gap doi
down	/doun/	(v) xuong
drab	/drab/	(adj) buon te
dream	/drem/	(v) mo tuong
drowsy	/_drouze/	(adj) buon ngu
dry	/dri/	(adj) kho
dumb	/dam/	(adj) cam
duty	/_d(y)o_ote/	(n) nhiem vu
edible	/_edabal/	(adj) an duoc
electricity	/ilek_trisite,_elek-/	(n) dien luc
embroider	/em_broidar/	(v) theu
endear	/en_di(a)r/	(v) ket thuc
entourage	/_anto_o_raZH/	(n) doan tuy tung
ere	/e(a)r/	(n) ere
exchange	/iks_CHanj/	(v) trao doi, giao dich
excuse	/ik'skju:s/	(v) tha thu
explain	/ik_splan/	(v) giai thich
expound	/ik_spound/	(v) giai thich
fancy	/_fanse/	(adj) ua thich
fat	/fat/	(adj) map map, beo tot
father	/_faT_Har/	(n) cha
feign	/fan/	(v) gia vo
field	/feld/	(n) canh dong
fine	/fen,fin,_fena/	(adj) khoe
firm	/farm/	(v) chac chan
fix	/fiks/	sua chua
flea	/fle/	(n) bo chet
fluid	/_flo_oid/	(n) chat long
force	/fors/	(n) luc luong
freeze	/frez/	(v) dong cung
fuck	/fak/	(v) du
fume	/fyo_om/	(n) khoi
game	/gam/	(n) tro choi
garret	/_garit/	(n) garret
gay	/ga/	(n) nguoi dong tinh
genome	/_je_nom/	(n) bo gen
ghost	/gost/	(n) ma
giraffe	/ja_raf/	(n) con huou cao co
go	/go/	di
gown	/goun/	(n) ao choang
grand	/grand/	(adj) lon
gravel	/_graval/	(n) soi
great	/grat/	(adj) tuyet qua
group	/gro_op/	(n) nhom
grow	/gro/	(v) lon len
grown	/grau/	(adj) moi lon, gia tang, phat trien
gun	/gan/	(n) sung
gust	/gast/	(n) ham muon
