a	/ā,ə/	(a) một
absent	/'æbsənt/	(n) vắng mặt
abstract	/'æbstrækt/	(adj) trừu tượng
accent	/'æksent/	(n) giọng, trọng âm, dấu trọng âm
accentor	/æk'sentə/	(n) chim chích
accentual	/æk'sentjuəl/	(adj) thuộc trọng âm, dựa vào trọng âm
accentuate	/ək'sent∫ʊeit/	(v) nhấn mạnh, làm nổi bật
accentuation	/əksent∫ʊ'ei∫n/	(n) sự nhấn mạnh, sự nổi bật
accept	/ək'sept/	(v) chấp nhận
acceptability	/ək,septə'biləti/	(n) tính có thể chấp nhận được, tính được hoan nghênh
acceptable	/ək'septəbl/	(adj) có thể chấp nhận được, được hoan nghênh
acquaint	/əˈkwānt/	(v) làm quen
ado	/əˈdo͞o/	(n) ado
affront	/əˈfrənt/	(v) phản đối
alas	/əˈlas/	(v) than ôi
alone	/əˈlōn/	(adj) một mình
amiable	/ˈāmēəbəl/	(adj) đáng yêu
angel	/ˈānjəl/	(n) thiên thần
angle	/ˈaNGgəl/	(n) góc
anybody	/-ˌbədē,ˈenēˌbädē/	bất cứ ai
append	/əˈpend/	(v) nối thêm
archive	/ˈärˌkīv/	(n) lưu trữ
as	/as,az/	như
asbestos	/asˈbestəs,az-/	(n) amiăng
astrology	/əˈsträləjē/	(n) chiêm tinh học
august	/ôˈgəst/	(n) tháng tám
away	/əˈwā/	(adv) xa
bag	/bag/	(n) túi
bamboozle	/bamˈbo͞ozəl/	(v) lừa gạt
banana	/bəˈnanə/	(n) trái chuối
barrier	/ˈbarēər/	(n) rào chắn
beacon	/ˈbēkən/	(n) đèn hiệu
beautiful	/ˈbyo͞otəfəl/	(adj) xinh đẹp, lộng lẫy
believe	/biˈlēv/	(v) tin
better	/'betə[r]/	(adj) tốt hơn, hơn
betterment	/'betəmənt/	(n) sự cải thiện
bevel	/'bevl/	(n) cạnh vát, thước nách, (v) gọt vát mép
beverage	/'bevəridʒ/	(n) đồ uống
bevy	/'bevi/	(n) đám, bầy
bewail	/bi'weil/	(v) khóc lóc, than vãn
beware	/bi'weə[r]/	(v) thận trọng, coi chừng
bicarb	/,bai'ka:b/	(n) bicarbonat natri
bicarbonate	/,bai'kɑ:bənət/	(n) cacbonat axit
bicentenary	/,baisen'ti:nəri/	(n) kỷ niệm hai trăm năm, lễ kỷ niệm hai trăm năm
bicentennial	/,baisen'teniəl/	(adj) 200 năm mới xảy ra một lần, (n) kỷ niệm 200 năm
bicephalous	/bai'sefələs/	(adj) có hai đầu
biotic	/bīˈätik/	(n) sinh vật học
blink	/bliNGk/	(v) chớp mắt
boil	/boil/	(v) sôi lên
book	/bo͝ok/	(n) sách
bottom	/ˈbätəm/	(n) đáy
brave	/brāv/	(adj) can đảm
broken	/ˈbrōkən/	(adj) bị hỏng
bugle	/ˈbyo͞ogəl/	(n) kèn
burst	/bərst/	(v) nổ
camera	/ˈkam(ə)rə/	(n) máy ảnh
capitulate	/kəˈpiCHəˌlāt/	(v) đầu hàng
carrier	/ˈkarēər/	(n) người vận chuyển
catch	/kaCH,keCH/	(v) bắt lấy
censor	/ˈsensər/	(v) kiểm duyệt
change	/CHānj/	(v) thay đổi
cheep	/CHēp/	(n) tiếng chim kêu
cheer	/CHi(ə)r/	vui lên
chloroform	/ˈklôrəˌfôrm/	(v) gây mê
cinder	/ˈsindər/	(n) chất kết dính
clatter	/ˈklatər/	(adj) kêu vang
closure	/ˈklōZHər/	(v) đóng cửa
cocktail	/ˈkäkˌtāl/	(n) cocktail
colour	/'kʌlə[r]/	(n) màu
compass	/ˈkəmpəs/	(n) la bàn
concise	/kənˈsīs/	(adj) ngắn gọn
conjugate	/'kɒndʒʊgeit/	(v) liên hợp
contemplate	/ˈkäntəmˌplāt/	(v) thưởng ngoạn
cook	/ko͝ok/	(v) nấu ăn
corridor	/-ˌdôr,ˈkär-,ˈkôrədər/	(n) hành lang
courier	/ˈko͝orēər,ˈkərēər/	(v) chuyển phát nhanh
crazy	/ˈkrāzē/	(adj) điên khùng
cream	/krēm/	(n) kem
crop	/kräp/	(n) mùa vụ, (v) cắt
cudgel	/ˈkəjəl/	(n) dùi cui
curtsy	/ˈkərtsē/	(v) uốn cong
dead	/ded/	(adj) đã chết
deaf	/def/	(adj) điếc
deal	/dēl/	(n) thỏa thuận
decree	/diˈkrē/	(n) nghị định
delate	/diˈlāt/	(adv) mách lẻo, tố cáo
deliver	/diˈlivər/	(v) giao hàng
deride	/diˈrīd/	(v) chế nhạo
deviate	/'di:vieit/	(v) đi chệch
dictionary	/ˈdikSHəˌnerē/	(n) từ điển, cuốn từ điển
dig	/dig/	(v) đào
dirt	/dərt/	(n) bụi bẩn
dirty	/ˈdərtē/	(adj) dơ bẩn
discharge	/dis't∫ɑ:dʒ/	(v) phóng điện
dissociate	/-ˈsōsē-,diˈsōSHēˌāt/	(v) tách rời
dodge	/däj/	(v) né tránh
dog	/dôg/	(n) chó
double	/ˈdəbəl/	(n) gấp đôi
down	/doun/	(v) xuống
